Loading files... 
  Starting freebase_mtr100_mte100-train.txt
  Finished freebase_mtr100_mte100-train.txt, still running: 0
Loaded 483142 facts in 1.57 s using -213 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  /religion/religion/notable_figures  ?a   => ?a  /people/person/religion  ?b	0.010128913	0.785714286	0.846153846	11	14	13	?a	0.0	0.0	0.0
?b  /base/popstra/religion/membership./base/popstra/religion_choice/member  ?a   => ?a  /people/person/religion  ?b	0.021178637	0.383333333	0.696969697	23	60	33	?a	0.0	0.0	0.0
?a  /base/popstra/celebrity/religion./base/popstra/religion_choice/religion  ?b   => ?a  /people/person/religion  ?b	0.022099448	0.406779661	0.8	24	59	30	?a	0.0	0.0	0.0
?b  /music/record_label/artist  ?a   => ?a  /music/artist/label  ?b	0.809924679	0.821203953	0.838147639	1828	2226	2181	?a	0.0	0.0	0.0
?b  /film/writer/film  ?a   => ?a  /film/film/produced_by  ?b	0.151750973	0.241635688	0.396341463	195	807	492	?a	0.0	0.0	0.0
?b  /award/award_winner/awards_won./award/award_honor/honored_for  ?a   => ?a  /film/film/produced_by  ?b	0.19766537	0.084413426	0.184325109	254	3009	1378	?a	0.0	0.0	0.0
?b  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /film/film/produced_by  ?b	0.386770428	0.079165339	0.167792032	497	6278	2962	?a	0.0	0.0	0.0
?b  /film/editor/film  ?a   => ?a  /film/film/produced_by  ?b	0.016342412	0.111702128	0.182608696	21	188	115	?a	0.0	0.0	0.0
?b  /film/film_story_contributor/film_story_credits  ?a   => ?a  /film/film/produced_by  ?b	0.024902724	0.077294686	0.157635468	32	414	203	?a	0.0	0.0	0.0
?b  /film/producer/film  ?a   => ?a  /film/film/produced_by  ?b	0.804669261	0.810344828	0.901482127	1034	1276	1147	?a	0.0	0.0	0.0
?b  /film/director/film  ?a   => ?a  /film/film/produced_by  ?b	0.221789883	0.331781141	0.551257253	285	859	517	?a	0.0	0.0	0.0
?a  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?b   => ?a  /film/film/produced_by  ?b	0.20311284	0.087087087	0.188993483	261	2997	1381	?a	0.0	0.0	0.0
?a  /award/award_nominated_work/award_nominations./award/award_nomination/award_nominee  ?b   => ?a  /film/film/produced_by  ?b	0.375875486	0.077953518	0.167128028	483	6196	2890	?a	0.0	0.0	0.0
?a  /film/film/story_by  ?b   => ?a  /film/film/produced_by  ?b	0.028015564	0.091370558	0.18556701	36	394	194	?a	0.0	0.0	0.0
?a  /film/film/edited_by  ?b   => ?a  /film/film/produced_by  ?b	0.015564202	0.111731844	0.175438596	20	179	114	?a	0.0	0.0	0.0
?a  /film/film/written_by  ?b   => ?a  /film/film/produced_by  ?b	0.151750973	0.247776366	0.397148676	195	787	491	?a	0.0	0.0	0.0
?a  /film/film/directed_by  ?b   => ?a  /film/film/produced_by  ?b	0.235019455	0.355294118	0.583011583	302	850	518	?a	0.0	0.0	0.0
?b  /film/film_genre/films_in_this_genre  ?a   => ?a  /tv/tv_program/genre  ?b	0.028712871	0.003955804	0.268518519	29	7331	108	?a	0.0	0.0	0.0
